GeneSymbol	EntrezID	MedGenID	Phenotype	Grouped
NADK2	133686	CN037048	"2,4-Dienoyl-CoA.reductase.deficiency"	"2,4-Dienoyl-CoA.reductase.deficiency"
CYP21A2	1589	C0852654	21-hydroxylase.deficiency	21-hydroxylase.deficiency
SHANK3	85358	C1853490	22q13.3.deletion.syndrome	22q13.3.deletion.syndrome
HSD17B10	3028	C1845517	2-methyl-3-hydroxybutyric.aciduria	2-methyl-3-hydroxybutyric.aciduria
HSD3B2	3284	C0342471	3.beta-Hydroxysteroid.dehydrogenase.deficiency	3.beta-Hydroxysteroid.dehydrogenase.deficiency
MCCC1	56922	CN028786	3.Methylcrotonyl-CoA.carboxylase.1.deficiency	3.Methylcrotonyl-CoA.carboxylase.1.deficiency
AUH	549	C0342727	3-Methylglutaconic.aciduria	3-Methylglutaconic.aciduria
TAZ	6901	C0574083	3-Methylglutaconic.aciduria.type.2	3-Methylglutaconic.aciduria.type.2
OPA3	80207	C0574084	3-Methylglutaconic.aciduria.type.3	3-Methylglutaconic.aciduria.type.3
DNAJC19	131118	C1857776	3-methylglutaconic.aciduria.type.V	3-methylglutaconic.aciduria.type.V
CLPB	81570	CN228597	"3-METHYLGLUTACONIC.ACIDURIA.WITH.CATARACTS,.NEUROLOGIC.INVOLVEMENT,.AND.NEUTROPENIA"	"3-METHYLGLUTACONIC.ACIDURIA.WITH.CATARACTS,.NEUROLOGIC.INVOLVEMENT,.AND.NEUTROPENIA"
SERAC1	84947	C3553597	"3-methylglutaconic.aciduria.with.deafness,.encephalopathy,.and.Leigh-like.syndrome"	"3-methylglutaconic.aciduria.with.deafness,.encephalopathy,.and.Leigh-like.syndrome"
SRD5A2	6716	C0268297	3-Oxo-5.alpha-steroid.delta.4-dehydrogenase.deficiency	3-Oxo-5.alpha-steroid.delta.4-dehydrogenase.deficiency
SOX9	6662	C2749215	"46,XX.sex.reversal,.type.2"	sex.reversal
DHH	50846	CN068862	"46,XY.gonadal.dysgenesis,.complete,.dhh-related"	"46,XY.gonadal.dysgenesis,.complete,.dhh-related"
DHH	50846	C2751325	"46,XY.gonadal.dysgenesis,.partial,.with.minifascicular.neuropathy"	"46,XY.gonadal.dysgenesis,.partial,.with.minifascicular.neuropathy"
SRY	6736	C2748896	"46,XY.sex.reversal,.type.1"	sex.reversal
NR0B1	190	C1848296	"46,XY.sex.reversal,.type.2"	sex.reversal
NR5A1	2516	C2751824	"46,XY.sex.reversal,.type.3"	sex.reversal
CBX2	84733	C2751317	"46,XY.sex.reversal,.type.5"	sex.reversal
MAP3K1	4214	C3151064	"46,XY.sex.reversal,.type.6"	sex.reversal
SOX9	6662	CN231316	"46,XY.SEX.REVERSAL.10"	sex.reversal
AKR1C2	1646	C1839840	"46,XY.sex.reversal.8"	sex.reversal
AKR1C4	1109	C1839840	"46,XY.sex.reversal.8"	sex.reversal
ZFPM2	23414	CN220529	"46,XY.sex.reversal.9"	sex.reversal
HPD	3242	C2931042	4-Alpha-hydroxyphenylpyruvate.hydroxylase.deficiency	4-Alpha-hydroxyphenylpyruvate.hydroxylase.deficiency
HPD	3242	C0268623	4-Hydroxyphenylpyruvate.dioxygenase.deficiency	4-Hydroxyphenylpyruvate.dioxygenase.deficiency
OPLAH	26873	C0268525	5-Oxoprolinase.deficiency	5-Oxoprolinase.deficiency
PTS	5805	C0878676	6-pyruvoyl-tetrahydropterin.synthase.deficiency	6-pyruvoyl-tetrahydropterin.synthase.deficiency
FGD1	2245	C0175701	Aarskog.syndrome	Aarskog.syndrome
RPL5	6125	C0265265	Aase.syndrome	Aase.syndrome
HLA-B	3106	C1840547	Abacavir.hypersensitivity	Abacavir.hypersensitivity
EDNRB	1910	C1838099	ABCD.syndrome	ABCD.syndrome
DYRK1B	9149	CN188185	Abdominal.obesity-metabolic.syndrome.3	Abdominal.obesity-metabolic.syndrome
LIPE	3991	CN219208	Abdominal.obesity-metabolic.syndrome.4	Abdominal.obesity-metabolic.syndrome
MTTP	4547	C0000744	Abetalipoproteinaemia	Abetalipoproteinaemia
TWIST2	117581	C1860224	Ablepharon.macrostomia.syndrome	Ablepharon.macrostomia.syndrome
TBX22	50945	C1844862	Abruzzo.Erickson.syndrome	Abruzzo.Erickson.syndrome
EPG5	57724	C1855772	Absent.corpus.callosum.cataract.immunodeficiency	Absent.corpus.callosum.cataract.immunodeficiency
SOX9	6662	C1861923	Acampomelic.campomelic.dysplasia	Acampomelic.campomelic.dysplasia
CAT	847	C0268419	Acatalasemia	Acatalasemia
CAT	847	C2936847	"Acatalasemia,.japanese.type"	"Acatalasemia,.japanese.type"
