1	A1BG	1	11167	A1bg	MGI:2152878	NA	NA
2	A1CF	29974	16363	A1cf	MGI:1917115	MP:0010768	NA
3	A1CF	29974	16363	A1cf	MGI:1917115	MP:0005384	NA
4	A2M	2	37248	A2m	MGI:2449119	MP:0005389	NA
5	A2M	2	37248	A2m	MGI:2449119	MP:0002873	NA
6	A2M	2	37248	A2m	MGI:2449119	MP:0010768	NA
7	A2M	2	37248	A2m	MGI:2449119	MP:0005385	NA
8	A2M	2	37248	A2m	MGI:2449119	MP:0005397	NA
9	A2M	2	37248	A2m	MGI:2449119	MP:0005380	NA
10	A2M	2	37248	A2m	MGI:2449119	MP:0005370	NA
11	A2M	2	37248	A2m	MGI:2449119	MP:0005386	NA
12	A2M	2	37248	A2m	MGI:2449119	MP:0005376	NA
13	A2M	2	37248	A2m	MGI:2449119	MP:0005387	NA
14	A2M	2	37248	A2m	MGI:2449119	MP:0005381	NA
15	A2M	2	37248	A2m	MGI:2449119	MP:0010771	NA
16	A2M	2	37248	A2m	MGI:2449119	MP:0005378	NA
17	A2M	2	37248	A2m	MGI:2449119	MP:0005379	NA
18	A3GALT2	127550	16326	A3galt2	MGI:2685279	NA	NA
19	A4GALT	53947	9690	A4galt	MGI:3512453	MP:0005386	NA
20	A4GALT	53947	9690	A4galt	MGI:3512453	MP:0010768	NA
21	A4GALT	53947	9690	A4galt	MGI:3512453	MP:0005376	NA
22	A4GNT	51146	87446	A4gnt	MGI:2143261	MP:0005384	NA
23	A4GNT	51146	87446	A4gnt	MGI:2143261	MP:0002006	NA
24	A4GNT	51146	87446	A4gnt	MGI:2143261	MP:0005385	NA
25	A4GNT	51146	87446	A4gnt	MGI:2143261	MP:0005381	NA
26	A4GNT	51146	87446	A4gnt	MGI:2143261	MP:0005387	NA
27	AAAS	8086	9232	Aaas	MGI:2443767	MP:0005378	NA
28	AAAS	8086	9232	Aaas	MGI:2443767	MP:0005389	NA
29	AAAS	8086	9232	Aaas	MGI:2443767	MP:0005386	NA
30	AACS	65985	11322	Aacs	MGI:1926144	NA	NA
31	AADAC	13	37436	Aadac	MGI:1915008	NA	NA
32	AADACL2	344752	28634	Aadacl2	MGI:3646333	NA	NA
33	AADACL3	126767	28426	Aadacl3	MGI:2685281	NA	NA
34	AADACL4	343066	82530	Gm13177	MGI:3650257	NA	NA
35	AADAT	51166	56540	Aadat	MGI:1345167	MP:0003631	NA
36	AADAT	51166	56540	Aadat	MGI:1345167	MP:0005391	NA
37	AADAT	51166	56540	Aadat	MGI:1345167	MP:0005386	NA
38	AAED1	195827	7192	Aaed1	MGI:1913379	NA	NA
39	AAGAB	79719	11648	Aagab	MGI:1914189	NA	NA
40	AAK1	22848	128746	Aak1	MGI:1098687	NA	NA
41	AAMDC	28971	11658	Aamdc	MGI:1913523	NA	NA
42	AAMP	14	846	Aamp	MGI:107809	NA	NA
43	AANAT	15	31013	Aanat	MGI:1328365	MP:0005379	NA
44	AANAT	15	31013	Aanat	MGI:1328365	MP:0003631	NA
45	AAR2	25980	9170	Aar2	MGI:1915545	NA	NA
46	AARD	441376	17041	Aard	MGI:2181621	NA	NA
47	AARS	16	1213	Aars	MGI:2384560	MP:0005384	NA
48	AARS	16	1213	Aars	MGI:2384560	MP:0005369	NA
49	AARS	16	1213	Aars	MGI:2384560	MP:0005378	NA
50	AARS	16	1213	Aars	MGI:2384560	MP:0005385	NA
51	AARS	16	1213	Aars	MGI:2384560	MP:0010768	NA
52	AARS	16	1213	Aars	MGI:2384560	MP:0010771	NA
53	AARS	16	1213	Aars	MGI:2384560	MP:0005386	NA
54	AARS	16	1213	Aars	MGI:2384560	MP:0003631	NA
55	AARS2	57505	56897	Aars2	MGI:2681839	NA	NA
56	AARSD1	80755	6821	Aarsd1	MGI:1916934	NA	NA
57	AASDH	132949	71711	Aasdh	MGI:2442517	NA	NA
58	AASDHPPT	60496	9130	Aasdhppt	MGI:1914868	NA	NA
59	AASS	10157	4212	Aass	MGI:1353573	NA	NA
60	AATF	26574	40811	Aatf	MGI:1929608	MP:0005378	NA
61	AATF	26574	40811	Aatf	MGI:1929608	MP:0005384	NA
62	AATF	26574	40811	Aatf	MGI:1929608	MP:0005380	NA
63	AATF	26574	40811	Aatf	MGI:1929608	MP:0010768	NA
64	AATK	9625	74861	Aatk	MGI:1197518	MP:0003631	NA
65	ABAT	18	542	Abat	MGI:2443582	NA	NA
66	ABCA1	19	21130	Abca1	MGI:99607	MP:0005381	NA
67	ABCA1	19	21130	Abca1	MGI:99607	MP:0003631	NA
68	ABCA1	19	21130	Abca1	MGI:99607	MP:0005387	NA
69	ABCA1	19	21130	Abca1	MGI:99607	MP:0005390	NA
70	ABCA1	19	21130	Abca1	MGI:99607	MP:0005367	NA
71	ABCA1	19	21130	Abca1	MGI:99607	MP:0005380	NA
72	ABCA1	19	21130	Abca1	MGI:99607	MP:0005370	NA
73	ABCA1	19	21130	Abca1	MGI:99607	MP:0005388	NA
74	ABCA1	19	21130	Abca1	MGI:99607	MP:0005385	NA
75	ABCA1	19	21130	Abca1	MGI:99607	MP:0005397	NA
76	ABCA1	19	21130	Abca1	MGI:99607	MP:0005378	NA
77	ABCA1	19	21130	Abca1	MGI:99607	MP:0005389	NA
78	ABCA1	19	21130	Abca1	MGI:99607	MP:0010768	NA
79	ABCA1	19	21130	Abca1	MGI:99607	MP:0005379	NA
80	ABCA1	19	21130	Abca1	MGI:99607	MP:0005369	NA
81	ABCA1	19	21130	Abca1	MGI:99607	MP:0005376	NA
82	ABCA1	19	21130	Abca1	MGI:99607	MP:0005384	NA
83	ABCA12	26154	45441	Abca12	MGI:2676312	MP:0005382	NA
84	ABCA12	26154	45441	Abca12	MGI:2676312	MP:0005376	NA
85	ABCA12	26154	45441	Abca12	MGI:2676312	MP:0005384	NA
86	ABCA12	26154	45441	Abca12	MGI:2676312	MP:0005388	NA
87	ABCA12	26154	45441	Abca12	MGI:2676312	MP:0005386	NA
88	ABCA12	26154	45441	Abca12	MGI:2676312	MP:0005385	NA
89	ABCA12	26154	45441	Abca12	MGI:2676312	MP:0005378	NA
90	ABCA12	26154	45441	Abca12	MGI:2676312	MP:0010768	NA
91	ABCA12	26154	45441	Abca12	MGI:2676312	MP:0010771	NA
92	ABCA13	154664	27991	Abca13	MGI:2388707	NA	NA
93	ABCA2	20	55590	Abca2	MGI:99606	MP:0005378	NA
94	ABCA2	20	55590	Abca2	MGI:99606	MP:0003631	NA
95	ABCA2	20	55590	Abca2	MGI:99606	MP:0005376	NA
96	ABCA2	20	55590	Abca2	MGI:99606	MP:0005386	NA
97	ABCA2	20	55590	Abca2	MGI:99606	MP:0010768	NA
98	ABCA2	20	55590	Abca2	MGI:99606	MP:0005389	NA
99	ABCA3	21	37437	Abca3	MGI:1351617	MP:0005385	NA
100	ABCA3	21	37437	Abca3	MGI:1351617	MP:0010768	NA
101	ABCA3	21	37437	Abca3	MGI:1351617	MP:0005388	NA
102	ABCA3	21	37437	Abca3	MGI:1351617	MP:0005386	NA
103	ABCA3	21	37437	Abca3	MGI:1351617	MP:0005376	NA
104	ABCA4	24	298	Abca4	MGI:109424	MP:0001186	NA
105	ABCA4	24	298	Abca4	MGI:109424	MP:0005385	NA
106	ABCA4	24	298	Abca4	MGI:109424	MP:0005391	NA
107	ABCA4	24	298	Abca4	MGI:109424	MP:0003631	NA
108	ABCA4	24	298	Abca4	MGI:109424	MP:0005376	NA
109	ABCA4	24	298	Abca4	MGI:109424	MP:0010771	NA
110	ABCA5	23461	10263	Abca5	MGI:2386607	MP:0005391	NA
111	ABCA5	23461	10263	Abca5	MGI:2386607	MP:0005370	NA
112	ABCA5	23461	10263	Abca5	MGI:2386607	MP:0005386	NA
113	ABCA5	23461	10263	Abca5	MGI:2386607	MP:0005385	NA
114	ABCA5	23461	10263	Abca5	MGI:2386607	MP:0010768	NA
115	ABCA5	23461	10263	Abca5	MGI:2386607	MP:0005379	NA
116	ABCA5	23461	10263	Abca5	MGI:2386607	MP:0005369	NA
117	ABCA5	23461	10263	Abca5	MGI:2386607	MP:0005376	NA
118	ABCA6	23460	71264	Abca6	MGI:1923434	MP:0005397	NA
119	ABCA6	23460	71264	Abca6	MGI:1923434	MP:0005376	NA
120	ABCA7	10347	22783	Abca7	MGI:1351646	MP:0005375	NA
121	ABCA7	10347	22783	Abca7	MGI:1351646	MP:0005367	NA
122	ABCA7	10347	22783	Abca7	MGI:1351646	MP:0005376	NA
123	ABCA8	10351	56029	Abca8b	MGI:1351668	NA	NA
124	ABCA9	10350	33332	Abca9	MGI:2386796	NA	NA
125	ABCB1	5243	55496	Abcb1a	MGI:97570	MP:0005387	NA
126	ABCB1	5243	55496	Abcb1a	MGI:97570	MP:0003631	NA
127	ABCB1	5243	55496	Abcb1a	MGI:97570	MP:0005377	NA
128	ABCB1	5243	55496	Abcb1a	MGI:97570	MP:0010768	NA
129	ABCB1	5243	55496	Abcb1a	MGI:97570	MP:0005385	NA
130	ABCB1	5243	55496	Abcb1a	MGI:97570	MP:0005397	NA
131	ABCB1	5243	55496	Abcb1a	MGI:97570	MP:0005386	NA
132	ABCB1	5243	55496	Abcb1a	MGI:97570	MP:0005370	NA
133	ABCB1	5243	55496	Abcb1a	MGI:97570	MP:0005376	NA
134	ABCB10	23456	6474	Abcb10	MGI:1860508	MP:0005385	NA
135	ABCB10	23456	6474	Abcb10	MGI:1860508	MP:0010768	NA
136	ABCB10	23456	6474	Abcb10	MGI:1860508	MP:0005376	NA
137	ABCB10	23456	6474	Abcb10	MGI:1860508	MP:0005384	NA
138	ABCB11	8647	74509	Abcb11	MGI:1351619	MP:0005378	NA
139	ABCB11	8647	74509	Abcb11	MGI:1351619	MP:0005370	NA
140	ABCB11	8647	74509	Abcb11	MGI:1351619	MP:0005376	NA
141	ABCB4	5244	136368	Abcb4	MGI:97569	MP:0005370	NA
142	ABCB4	5244	136368	Abcb4	MGI:97569	MP:0002006	NA
143	ABCB4	5244	136368	Abcb4	MGI:97569	MP:0005389	NA
144	ABCB4	5244	136368	Abcb4	MGI:97569	MP:0005397	NA
145	ABCB4	5244	136368	Abcb4	MGI:97569	MP:0005385	NA
146	ABCB4	5244	136368	Abcb4	MGI:97569	MP:0005381	NA
147	ABCB4	5244	136368	Abcb4	MGI:97569	MP:0005390	NA
148	ABCB4	5244	136368	Abcb4	MGI:97569	MP:0005384	NA
149	ABCB4	5244	136368	Abcb4	MGI:97569	MP:0005387	NA
150	ABCB4	5244	136368	Abcb4	MGI:97569	MP:0005376	NA
151	ABCB4	5244	136368	Abcb4	MGI:97569	MP:0005379	NA
152	ABCB4	5244	136368	Abcb4	MGI:97569	MP:0005378	NA
153	ABCB5	340273	83488	Abcb5	MGI:1924956	NA	NA
154	ABCB6	10058	11375	Abcb6	MGI:1921354	MP:0010768	NA
155	ABCB6	10058	11375	Abcb6	MGI:1921354	MP:0005397	NA
156	ABCB6	10058	11375	Abcb6	MGI:1921354	MP:0005384	NA
157	ABCB6	10058	11375	Abcb6	MGI:1921354	MP:0005376	NA
158	ABCB7	22	3175	Abcb7	MGI:109533	MP:0005380	NA
159	ABCB7	22	3175	Abcb7	MGI:109533	MP:0005370	NA
160	ABCB7	22	3175	Abcb7	MGI:109533	MP:0010768	NA
161	ABCB7	22	3175	Abcb7	MGI:109533	MP:0005385	NA
162	ABCB7	22	3175	Abcb7	MGI:109533	MP:0005384	NA
163	ABCB7	22	3175	Abcb7	MGI:109533	MP:0005376	NA
164	ABCB7	22	3175	Abcb7	MGI:109533	MP:0005378	NA
165	ABCB8	11194	5203	Abcb8	MGI:1351667	MP:0005385	NA
166	ABCB8	11194	5203	Abcb8	MGI:1351667	MP:0005376	NA
167	ABCB8	11194	5203	Abcb8	MGI:1351667	MP:0005369	NA
168	ABCB9	23457	10491	Abcb9	MGI:1861729	MP:0005386	NA
169	ABCC1	4363	133779	Abcc1	MGI:102676	MP:0005376	NA
170	ABCC1	4363	133779	Abcc1	MGI:102676	MP:0005397	NA
171	ABCC1	4363	133779	Abcc1	MGI:102676	MP:0010768	NA
172	ABCC1	4363	133779	Abcc1	MGI:102676	MP:0005387	NA
173	ABCC1	4363	133779	Abcc1	MGI:102676	MP:0003631	NA
174	ABCC10	89845	58616	Abcc10	MGI:2386976	MP:0005376	NA
175	ABCC10	89845	58616	Abcc10	MGI:2386976	MP:0005379	NA
176	ABCC10	89845	58616	Abcc10	MGI:2386976	MP:0010768	NA
177	ABCC10	89845	58616	Abcc10	MGI:2386976	MP:0005378	NA
178	ABCC10	89845	58616	Abcc10	MGI:2386976	MP:0005397	NA
179	ABCC10	89845	58616	Abcc10	MGI:2386976	MP:0005387	NA
180	ABCC12	94160	57211	Abcc12	MGI:2441679	NA	NA
